,word1,word2,prediction
54,alloy,metal,-1.1775693514029868
55,american,lobster,-1.6780731896471601
56,anatomy,palm,-1.7030851192653695
57,ancient,city,-1.4363895443818253
58,ancient,pod,-1.7049013827202595
59,animal,hand,-1.5766351669417191
60,animal,pet,-1.0581431261465946
61,animal,wild,-1.2496724342262104
62,anniversary,birthday,-1.0150063521207005
63,answer,counter,-1.612207073460851
64,answer,plea,-1.5190583026856872
65,answering,react,-1.5848347818109476
66,anxiety,worry,-1.3568154137559694
67,apartment,bathroom,-1.216443747876061
68,apartment,beach,-1.3954049327594233
69,apartment,staircase,-1.4057625137476355
70,apartment,valley,-1.5571917451076114
71,apple,bank,-1.6973383840247676
72,apple,blossom,-1.3138558527044104
73,apple,cute,-1.5875481670859
74,apple,dessert,-1.2243185786849222
75,apple,fruit,-1.0420688626117962
76,application,use,-1.336480413039344
77,approach,avenue,-1.7096688292950781
78,approach,trench,-1.698670572915281
79,approval,encouragement,-1.5272585426750014
80,arab,coffee,-1.7962386950460896
81,arch,curve,-1.4754114965424843
82,arch,shoulder,-1.5234131591223248
83,architecture,engineering,-1.3172524927465747
84,architecture,urban,-1.3303240861498364
85,architecture,yellow,-1.721223831454048
86,area,patio,-1.4319500746567653
87,arm,arrow,-1.4499769227001291
88,arm,caterpillar,-1.6793359889624297
89,army,battleship,-1.505868890461355
90,aroma,fragrance,-1.070573274900229
91,arrange,string,-1.6520649783616976
92,arrangement,flower,-1.5147356710464464
93,arrow,boxer,-1.7084518267558715
94,art,beer,-1.6292838089324544
95,art,drive,-1.7212016138617117
96,art,gem,-1.4928372829151304
97,art,painting,-0.9606138602155424
98,art,work,-1.422707915865277
99,assessments,charge,-1.588682323822818
100,assets,credit,-1.343023403254141
101,assistant,secretary,-1.1328945640765478
102,association,realtor,-1.5500498107016014
103,assumption,conclusion,-1.1165581517872551
104,asylum,dollar,-1.7533108798596095
105,asylum,gem,-1.7755510401503738
106,athlete,participant,-1.4255256239896
107,athletics,broadcasting,-1.6159041004641608
108,attitude,respect,-1.279562759185566
109,attitude,study,-1.6479745577722504
110,attorney,lawyer,-0.5260586172624516
111,attraction,pressure,-1.6933038097567925
112,attraction,quality,-1.6870569338260852
113,attribute,condition,-1.5330656023997213
114,automobile,racing,-1.4307654367016174
115,autumn,sunshine,-1.1541505828144145
116,baby,treat,-1.5193847858277727
117,back,out,-0.9595737080512418
118,backward,educated,-1.6888492962696497
119,bacon,cooking,-1.193118179455854
120,bacon,dessert,-1.2047098259865898
121,bacon,eat,-1.224775706621454
122,bacon,potato,-0.8999525073687579
123,bag,cop,-1.6465199579546326
124,bag,wire,-1.498774050651564
125,bait,pump,-1.5888754648249084
126,bakery,cake,-1.2224557497141908
127,bakery,work,-1.7115390803481392
128,bakery,zebra,-1.7025154101394167
129,balance,gauge,-1.547439173854195
130,ball,curl,-1.5083708225440517
131,ball,egg,-1.5841797297436415
132,ball,situation,-1.6691957355271612
133,ball,sphere,-1.601865462170244
134,band,ear,-1.522148429474394
135,band,guitar,-1.0898778809852607
136,band,musician,-1.1525299267130105
137,band,punk,-1.0508617881442595
138,bar,boat,-1.5872783079519137
139,bar,cocktail,-1.2466545171592796
140,bar,pub,-1.1079023533686687
141,base,club,-1.6109459463010232
142,baseball,cheetah,-1.7558247689406343
143,baseball,rainbow,-1.6682289596405542
144,baseball,season,-1.3806593777173737
145,basket,moss,-1.5737256148303194
146,bat,bat,-0.0
147,bat,boy,-1.5385380969022366
148,bat,fruit,-1.6429404172352422
149,bat,march,-1.767182956434884
150,bat,turn,-1.6036965142422692
151,bath,floor,-1.2741604225080292
152,bath,patio,-1.2941245805021984
153,bathroom,bedroom,-0.8696146330490215
154,bathroom,room,-0.9675753041884764
155,bathroom,sitting,-1.3051341118301827
156,bathroom,staircase,-1.2243158145120454
157,battle,fight,-1.0153449678973814
158,battle,war,-1.0914794071666867
159,bay,curve,-1.7134106071227337
160,bead,chess,-1.6874047129998855
161,bead,redhead,-1.6815042474333965
162,beard,blonde,-1.3758542048420723
163,beard,flamingo,-1.6520812149357218
164,beard,sport,-1.634262313282211
165,beat,meter,-1.6642616627768163
166,bed,bedroom,-0.9386247324290845
167,bed,ceiling,-1.3933731589197307
168,bed,layer,-1.5630271709388595
169,bed,plant,-1.6113067513647967
170,bed,relax,-1.4424051107683853
171,bedroom,canyon,-1.6121503071056855
172,bedroom,cottage,-1.1528262170931831
173,bedroom,door,-1.2607078158211726
174,bedroom,floor,-1.074593851871661
175,bedroom,pool,-1.3542098705472754
176,bedroom,sleep,-1.4326263017819167
177,bedroom,stair,-1.461402811372485
178,beef,cooking,-1.1898456199028093
179,beef,deer,-1.494309402971309
180,beet,rank,-1.770903957365712
181,belief,magic,-1.5180398561287047
182,belief,purpose,-1.2063694918888772
183,believe,levy,-1.7428899584556754
184,belly,dark,-1.409955867561411
185,benefit,interest,-1.2703425578001848
186,benefited,help,-1.5908937931585518
187,bent,double,-1.5579401429851794
188,bent,inclination,-1.4838199575008957
189,berlin,germany,-1.1251274941096983
190,berry,flying,-1.724430659327223
191,berry,sweet,-1.3133584951318042
192,bible,misty,-1.7012023053927583
193,bicycle,green,-1.5333820833677203
194,bikini,ivy,-1.607951745570243
195,billboard,structure,-1.683437051164483
196,bin,box,-1.5967679510440804
197,bin,cup,-1.7533687260021542
198,bird,cock,-1.5393444750857486
199,bird,goose,-1.2591775872325628
200,bird,shade,-1.5154438785288447
201,birthday,happy,-1.2982188468246794
202,bishop,priest,-0.9684503909596861
203,bishop,seizure,-1.7272108371820605
204,bishop,wine,-1.756504938838078
205,bit,tool,-1.6123613579949774
206,bitter,bitter,-0.0
207,black,bright,-1.2238108959410194
208,black,brown,-1.0356608508495222
209,black,colour,-1.4087599330479623
210,black,grey,-1.0323693350588994
211,black,market,-1.7241003828306354
212,black,paint,-1.3506371974997182
213,black,purple,-1.005490847024872
214,black,seat,-1.5740193996003793
215,black,skirt,-1.207884692420212
216,black,stripe,-1.2692868272438054
217,black,white,-0.6871748112740175
218,blanket,covering,-1.4087337146132817
219,blast,smashing,-1.3448606626937583
220,bleach,white,-1.549679948212561
221,blessing,deal,-1.5717522110063302
222,blessing,patronage,-1.490304019496524
223,blonde,dark,-1.344425610727053
224,blonde,girl,-1.0203116509911023
225,blonde,hair,-1.211461527960352
226,blonde,redhead,-0.8400988760437411
227,blonde,wig,-1.2850301291621125
228,bloom,foliage,-1.1228666883665495
229,bloom,friend,-1.6673404909244334
230,bloom,glittering,-1.5455676619379017
231,bloom,plant,-1.3621171345955876
232,blossom,fruit,-1.250107359425927
233,blossom,purple,-1.2723855326216034
234,blow,contact,-1.7578944271779806
235,blue,color,-1.1146890921479389
236,blue,grey,-0.9874070816782328
237,blue,shade,-1.1957047102577618
238,blue,yellow,-0.7530140369817306
239,blues,rhythm,-1.2032381483002896
240,blur,eye,-1.429004132057048
241,blur,metro,-1.7116921296109162
242,board,commission,-1.193490435787871
243,board,recommendation,-1.3266698085811228
244,boast,complain,-1.4999162326653852
245,boast,explain,-1.646629891326607
246,boat,ferry,-1.0353735509654451
247,boat,negro,-1.733974959810937
248,boat,vessel,-1.0401317262924512
249,body,registration,-1.7083914361715529
250,bone,skull,-1.101496173826389
251,book,copper,-1.8069909044561279
252,book,fair,-1.5753961800701584
253,book,fine,-1.54444892541729
254,book,open,-1.6637649144834303
255,book,smoking,-1.7171299320246654
256,boot,punch,-1.5612524743231486
257,born,live,-1.47071111274882
258,born,play,-1.6755374900183477
259,born,son,-1.2175908302371077
260,born,subway,-1.7785767835146717
261,bottle,glass,-1.1026378106679198
262,bottle,wine,-1.0820493978156873
263,bounce,bounced,-1.1034496960251288
264,bounce,swing,-1.1812536941764307
265,box,return,-1.6379362808493318
266,boxer,lighthouse,-1.7367162711720865
267,boy,hand,-1.4495948889133519
268,boy,live,-1.5625314816377864
269,boy,male,-1.3379992995638128
270,brace,stand,-1.5533377713831809
271,branch,lego,-1.7505345224992799
272,branch,limb,-1.5400202883319347
273,branch,president,-1.5675368962930998
274,brandy,difficulty,-1.7976975330571434
275,brass,executive,-1.7576831790951903
276,bread,cover,-1.5309352691602056
277,bread,dessert,-1.001912742588825
278,bread,ocean,-1.688555938305169
279,bread,salad,-0.871151457127865
280,bread,sandwich,-0.9173950175184751
281,break,scattered,-1.6262906841759746
282,breakfast,restaurant,-1.1111802895989655
283,brick,cell,-1.6263148549490771
284,brick,concrete,-0.9986961969730932
285,brick,construction,-1.4051111165212462
286,brick,house,-1.2556907044634384
287,brick,porch,-1.142250890496819
288,brick,rabbit,-1.5977786887958325
289,brick,skyscraper,-1.3779949672628735
290,brick,staircase,-1.201447725497278
291,brick,wall,-1.1809012218845454
292,bride,dress,-1.1633162966515624
293,bright,dark,-1.0295441259402938
294,bright,glittering,-1.2432495207597591
295,bright,grey,-1.2903161237805596
296,bright,red,-1.0573500116928816
297,bright,sky,-1.1679473204032882
298,bright,sun,-1.235040032714325
299,broadcast,packet,-1.6073081767253037
300,brochure,reference,-1.5048548139444182
301,brokerage,politics,-1.7650171719576748
302,bronze,sculpture,-1.2099923690005623
303,brother,member,-1.5532062888349418
304,brown,feather,-1.415763021879944
305,brown,grey,-0.9971633672371992
306,brown,insect,-1.604264295449818
307,brown,purple,-1.1310670071038988
308,brown,violet,-1.271847452155494
309,brush,implement,-1.717083450834388
310,bubble,surface,-1.4786976827348646
311,buck,horse,-1.3959443879807272
312,bucket,duck,-1.4702735777956306
313,bucket,girl,-1.6282723126502734
314,bud,foliage,-1.4550286476367293
315,bud,shade,-1.4916953548588392
316,budget,scale,-1.5349914250230956
317,build,flesh,-1.697690002406716
318,building,cafe,-1.5335526645745923
319,building,construction,-1.0596854405942788
320,building,floor,-1.2636714967560647
321,building,interior,-1.432017249379895
322,building,sandwich,-1.6972982920708144
323,building,sidewalk,-1.401351846951621
324,building,zombie,-1.7446167365945502
325,bulgarian,nurse,-1.6821922219026073
326,bulletin,news,-1.426734846085599
327,bundle,deceive,-1.7622705555627434
328,burger,eat,-1.24475361799833
329,burger,frozen,-1.3674243966874349
330,burger,mac,-1.4378435192625572
331,burger,sandwich,-0.8605110436126723
332,burn,reading,-1.6735254874625591
333,burnt,treated,-1.614016349964396
334,bury,hide,-1.3090474109480337
335,bus,subway,-1.0741946996406138
336,butterfly,insect,-1.2835387791296533
337,butterfly,stadium,-1.737024712473427
338,button,police,-1.8142029043566117
339,cafe,dinner,-1.23857242051427
340,cafe,frog,-1.5584879741291593
341,cafe,lunch,-1.162070599735466
342,cafe,relax,-1.5054988632086959
343,cake,library,-1.7445305179697412
344,calendar,system,-1.6173358594824208
345,call,meeting,-1.572334618667252
346,call,statement,-1.5674971897371572
347,cambridge,harvard,-1.095444126613938
348,camel,highway,-1.6491371539547879
349,camel,outdoor,-1.5678750451855434
350,camera,painting,-1.5508966055722682
351,camera,photography,-1.3059499298231827
352,camp,camp,-0.0
353,camping,pitch,-1.6935839622197302
354,can,mill,-1.6827483035399444
355,canal,coffee,-1.7263044103307719
356,canal,number,-1.7821747689339167
357,candy,sweet,-1.1353130793122654
358,canine,dog,-1.0662017119729885
359,canyon,pizza,-1.6659931159928478
360,canyon,river,-1.0545700915041722
361,capital,seed,-1.7381897593554154
362,captain,officer,-1.2221186495250156
363,car,hawk,-1.6775088749415767
364,car,limousine,-1.1929679694706452
365,car,tongue,-1.7242303084396544
366,card,party,-1.6201835253197294
367,card,plastic,-1.5890058451654012
368,cardinal,village,-1.7523180097572664
369,carnivore,predator,-1.2619455618584459
370,carriage,coach,-1.7572456403382701
371,carrot,city,-1.8186604495614542
372,carrot,design,-1.7807059193665018
373,carrot,fruit,-1.071874181893633
374,carrot,memorial,-1.797737351436857
375,cartoon,wit,-1.5569234847311375
376,case,luggage,-1.6183783658618347
377,cash,credit,-1.0796052878382016
378,cast,gathering,-1.6453995265369668
379,cat,garden,-1.537900358333531
380,cat,jaguar,-1.4886974348552924
381,cat,licking,-1.4653052306247905
382,catering,loan,-1.6855806456483975
383,cd,stock,-1.6939993416792847
384,ceiling,door,-1.2531492260297017
385,ceiling,floor,-1.0092467296216676
386,ceiling,mug,-1.6525758192725688
387,ceiling,porch,-1.1965992090226532
388,cell,membrane,-1.3053256205725747
389,cemetery,cone,-1.7441045921985958
390,cemetery,graveyard,-1.0157185283688515
391,ceramic,live,-1.7624709957224765
392,ceramic,ocean,-1.6557359979559785
393,chair,rocker,-1.4524663137786293
394,chance,fortune,-1.4765194791460208
395,change,change,-0.0
396,change,energized,-1.6383243324127814
397,change,move,-1.254364835901161
398,change,yielding,-1.6459175718355064
399,channel,sound,-1.553410748550582
400,chapel,church,-0.9246887735230378
401,characteristic,nature,-1.3058060316932008
402,charge,sentence,-1.3910320593950762
403,check,draft,-1.6427367255294354
404,cheer,musician,-1.679562194914344
405,chef,paris,-1.632218139910917
406,chemical,salt,-1.52912668121722
407,chemistry,claim,-1.7315320711536397
408,cherry,dessert,-1.2345983940738734
409,cherry,fruit,-1.0241305641426277
410,cherry,peel,-1.263671114908677
411,cherry,vine,-1.271986424866711
412,chess,family,-1.698737602882942
413,chicken,lamb,-0.8612706050106393
414,chicken,pepper,-0.995863708580966
415,chicken,rice,-0.9422238592030463
416,chicken,rooster,-1.407359031185026
417,chicken,star,-1.7122245685295607
418,child,fun,-1.5839642073494042
419,chocolate,dessert,-0.8686186226500742
420,chooses,compare,-1.584004805514188
421,chopper,window,-1.6348439329149713
422,christmas,valentine,-1.1906651217947952
423,chuck,jaw,-1.524107527778435
424,church,graveyard,-1.3935501726042823
425,church,porch,-1.5199572922152675
426,church,soldier,-1.6135771560265846
427,cigarette,skating,-1.7988688760376828
428,circle,oval,-1.3091898384370748
429,circle,wig,-1.6762923795585993
430,circulation,circulation,-0.0
431,citation,citation,-0.0
432,city,downtown,-0.9826442882847297
433,city,kansas,-1.3103536053685956
434,city,live,-1.5402558022888972
435,city,ruin,-1.5827975538161436
436,city,skyline,-1.318217218257075
437,city,small,-1.5388424644603733
438,city,town,-0.8955843313797006
439,clean,remove,-1.2480639125974906
440,clear,clear,-0.0
441,clients,guest,-1.6383516658448753
442,cliff,sand,-1.3517814937818065
443,clock,stripe,-1.6339783780397257
444,closed,up,-1.467638796999441
445,closing,closing,-0.0
446,closing,finale,-1.591223432157327
447,cloud,energy,-1.5997468499888854
448,cloud,mist,-1.2024150944548053
449,cloud,misty,-1.3581401995771105
450,cloud,sunny,-1.5128278003571718
451,clown,flood,-1.782007816835394
452,club,cone,-1.728601002670487
453,club,match,-1.4380344203827837
454,club,play,-1.4518452105964348
455,club,sign,-1.5913563960112749
456,coast,downtown,-1.533724838482396
457,coast,glide,-1.6608054576474875
458,coast,lay,-1.6285630781424547
459,coast,slope,-1.5192674558925545
460,cock,penis,-1.3248582357333896
461,cocktail,garage,-1.6580884493467922
462,cocktail,restaurant,-1.3201150389474414
463,code,software,-1.3656029638416263
464,coffee,meeting,-1.6677511641023952
465,coffee,sun,-1.5671872978153991
466,coin,silver,-1.2624417242428054
467,coin,ticket,-1.549054887718592
468,cold,dripping,-1.382615791812707
469,cold,ear,-1.529341031631896
470,cold,hot,-1.080397149907649
471,cold,puddle,-1.41543349549984
472,cold,washing,-1.3780215387139916
473,cold,weather,-1.2301769219100227
474,collect,collect,-0.0
475,collection,data,-1.5590831630850093
476,collection,packet,-1.6611966863489738
477,collection,work,-1.5336161533954007
478,collision,smash,-1.5715026884727428
479,colony,depression,-1.7474715272322814
480,color,quality,-1.4338032457773873
481,color,wine,-1.5553401899024857
482,color,yellow,-1.1361164689132366
483,colorful,frame,-1.4658163437221754
484,colour,grey,-1.2935180867869673
485,colour,red,-1.3547074370538987
486,colour,wild,-1.6410838836619648
487,combination,education,-1.67414265939804
488,comfort,relief,-1.4849323682005762
489,commenting,note,-1.5072390713286095
490,commercial,manufacture,-1.391921805693577
491,commissions,order,-1.5197797926160737
492,communication,tune,-1.7277343547652404
493,communications,tableware,-1.7692217930952396
494,communications,transmission,-1.2865879352283132
495,community,territory,-1.5486727512272846
496,commuter,scottish,-1.772845718507551
497,comparison,scrutiny,-1.5680508088265535
498,compensation,offset,-1.469321274063696
499,computer,lab,-1.3548462700664248
500,concert,sing,-1.2809410453970909
501,concerts,settle,-1.7892211696593903
502,conclusion,conclusion,-0.0
503,concrete,construction,-1.2422800335592075
504,concrete,school,-1.704925207533596
505,condition,health,-1.4519345054606594
506,cone,windmill,-1.565134345746178
507,conference,lawyer,-1.6713976323936717
508,conservation,traveling,-1.702944442552823
509,construction,violet,-1.8445347037337345
510,construction,window,-1.6402408037430634
511,consume,supply,-1.4337431181044253
512,consumer,energy,-1.380332139244907
513,continent,ground,-1.6038456989969905
514,continue,keep,-1.216817073560589
515,convertible,pipe,-1.7180688475959505
516,cook,printer,-1.7347700406992412
517,cooking,salad,-1.1240085793926426
518,cooking,soup,-1.0364880747072405
519,cool,cool,-0.0
520,cool,jazz,-1.5678066397235457
521,copy,image,-1.4066644195694362
522,copy,work,-1.5493574145270126
523,corridor,hall,-1.423626447431428
524,cost,postage,-1.3512311505846184
525,costume,ocean,-1.7224471796703726
526,costume,radiation,-1.816807422023595
527,costume,shirt,-1.2713626008494203
528,cottage,sleep,-1.590299724748694
529,couch,lounge,-1.2637657369556634
530,couple,live,-1.489103731834541
531,couple,makeup,-1.6295356770559426
532,couple,square,-1.6078520001189638
533,course,workshop,-1.5028192534321745
534,cousin,relation,-1.6345681348427223
535,cover,dot,-1.5409318005999721
536,covering,covering,-0.0
537,crab,manufacturer,-1.7694660670558509
538,cracking,cracking,-0.0
539,craft,soup,-1.6243373484110675
540,craft,trade,-1.605337906073904
541,craft,van,-1.7053012893100135
542,crane,implement,-1.7386567299842899
543,crane,stair,-1.5162379926894682
544,crane,wild,-1.612397602324588
545,crash,striking,-1.6724212246732475
546,crash,swing,-1.6549769262377267
547,credit,credit,-0.0
548,credit,flap,-1.7510355361066252
549,credit,latin,-1.7204277471185931
550,credit,man,-1.7267991040041324
551,credit,money,-1.168821260433561
552,credit,ovation,-1.7516925119413895
553,credit,sum,-1.4824506726931284
554,crew,unit,-1.5809229926193296
555,criminal,possession,-1.3132820884694862
556,crochet,family,-1.7277158411653033
557,crochet,stitch,-1.006347321320796
558,cross,meet,-1.5670659175415136
559,cross,pub,-1.6420061301540034
560,cross,shopping,-1.6397091409881994
561,cross,tower,-1.5458499593632902
562,crystal,silhouette,-1.49066096617946
563,crystal,spiral,-1.4825236693194617
564,cube,dice,-1.3819471169325126
565,cucumber,potato,-0.9757868469581189
566,cup,handbag,-1.7273966279092061
567,cup,shape,-1.5791402889589776
568,curl,licking,-1.5427335482797024
569,currency,exchange,-1.0736580718427102
570,curve,rainbow,-1.6004892904298251
571,customer,mission,-1.6508594346311465
572,cute,fun,-1.1527551508062288
573,cute,guy,-1.2833719788059608
574,cute,lady,-1.2713049501742975
575,cute,music,-1.6198679121352817
576,cutter,knife,-1.1592988288157702
577,cutting,nip,-1.6255871934587107
578,dad,left,-1.559162262946318
579,daisy,grass,-1.511762250141956
580,daisy,violet,-1.334014544997316
581,damned,people,-1.485613927453023
582,dandelion,seed,-1.445086790438795
583,dark,flamingo,-1.6986629477227821
584,dark,grey,-1.0689697870867867
585,dark,purple,-1.0918414557205214
586,dark,rusty,-1.4479623985339931
587,dark,yellow,-1.1284278531236343
588,dashboard,protection,-1.687992219724297
589,database,list,-1.3237798177513316
590,dawn,drug,-1.7632675522209744
591,dawn,night,-1.215886340966279
592,dawn,sun,-1.2182603992417071
593,day,sunny,-1.420335911308046
594,dead,face,-1.5337244847780869
595,dead,hanging,-1.447234071869131
596,deaf,people,-1.449980698160241
597,death,funeral,-1.304040803260742
598,death,organic,-1.7632492294415558
599,death,texas,-1.6584194810497483
600,declare,promised,-1.3746004176761368
601,decoration,interior,-1.3632959040010388
602,decoration,set,-1.5583392158111544
603,decrease,increase,-0.6033253024547361
604,defeat,disappointment,-1.401866447544274
605,defeated,people,-1.7778834360227944
606,defeated,upset,-1.247464928485634
607,defense,protection,-1.4363682249743255
608,defensive,nazi,-1.7683583538757375
609,degree,quantity,-1.5613100247503937
610,degree,style,-1.649136281970703
611,delaware,wine,-1.7121470156753884
612,demand,demand,-0.0
613,demand,request,-1.5385643599349754
614,demand,supply,-1.134173491263218
615,demolition,skyline,-1.5497295462398786
616,demolition,skyscraper,-1.4106768299260521
617,department,division,-1.3604650101210543
618,depression,depression,-0.0
619,descent,fall,-1.5958529119303189
620,desert,mountain,-1.0659256710242604
621,desert,scenery,-1.3119663521650302
622,desert,smoke,-1.566652412020226
623,deserve,expect,-1.2883184012849043
624,deserve,merit,-1.2133325818823175
625,deserve,want,-1.2749190005528246
626,design,muscle,-1.682828827924937
627,designation,recognition,-1.3410236069853185
628,desk,suspension,-1.7332461794922172
629,dessert,eye,-1.67005971138477
630,dessert,fruit,-1.029446243671057
631,dessert,lunch,-1.103967799172495
632,dessert,orange,-1.344971782590652
633,dessert,pepper,-1.3591111287562823
634,destroy,disassembled,-1.599335861757437
635,develop,foundation,-1.4747443498560384
636,device,drum,-1.5688175838113807
637,devil,satan,-1.0078819701643411
638,dew,misty,-1.3901039357651142
639,dew,rain,-1.413514941492499
640,die,played,-1.711625753045611
641,dignity,integration,-1.6194351219181748
642,diluted,weak,-1.5609504415167372
643,diner,eat,-1.3440137565469554
644,diner,kitchen,-1.235803087570301
645,dinner,eat,-1.1431429331515894
646,dinner,lunch,-0.6310042906384352
647,dinner,night,-1.277368198431695
648,direction,government,-1.6634618294553862
649,dirt,racing,-1.4565574027404407
650,dirt,road,-1.2476581463496734
651,dirt,sand,-1.0106896292699428
652,dirty,feel,-1.5191259543696525
653,dirty,fun,-1.4685094830563603
654,dirty,rusty,-1.3597981477264731
655,discipline,science,-1.4337897209658665
656,discipline,system,-1.529627296514801
657,disease,plague,-1.1880188971161776
658,distance,distribution,-1.6384415948523745
659,distinguish,promise,-1.5685955345896603
660,distinguish,sex,-1.6554147390661933
661,distribute,research,-1.6537701824782751
662,distributed,spread,-1.5174709197427387
663,divide,split,-1.2212221180812943
664,division,lincoln,-1.7225176855543967
665,doctor,liability,-1.682490070742831
666,document,resolution,-1.3513260662177
667,dog,fauna,-1.7159146991157033
668,dog,pug,-1.2032141429935665
669,dog,puppy,-0.7577611649945986
670,dollar,yen,-0.9572441460234741
671,domain,land,-1.4991076173675344
672,dome,uniform,-1.6581141687329906
673,doodle,scratch,-1.559996475177622
674,door,interior,-1.420450521104475
675,door,kitchen,-1.2527646574048878
676,door,porch,-1.1871789983916674
677,door,room,-1.1987618862175389
678,door,wall,-1.240446873665075
679,door,window,-0.9791140324864018
680,doubt,ego,-1.3879374801576678
681,down,flush,-1.5037329404398339
682,downtown,shopping,-1.2463946358188043
683,downtown,shore,-1.4842354404446576
684,downtown,skyscraper,-1.3545566118694858
685,dragon,drop,-1.6562406614877936
686,dragon,metal,-1.5253038418736231
687,dragonfly,pond,-1.496403061637163
688,drain,tap,-1.3555728574875026
689,drawing,music,-1.5700324735374223
690,dress,wear,-0.9396731165730908
691,dressing,sauce,-1.0607185750013517
692,drink,murder,-1.71313744307125
693,drink,turn,-1.5384159359759408
694,dripping,puddle,-1.2244130580816832
695,drive,impulse,-1.584721193227972
696,drive,mechanism,-1.5848283812321895
697,drive,operate,-1.471400084135243
698,drop,hanging,-1.5037156622730545
699,drug,operator,-1.709263090765297
700,drug,reflection,-1.7554965463311438
701,duck,mallard,-1.2991064629102544
702,duck,outfit,-1.6107677252046717
703,dude,feel,-1.4464644489409222
704,dude,friend,-1.3599722381128168
705,dude,sexy,-1.3286172802636662
706,dude,stop,-1.5348707035679234
707,dusk,misty,-1.1971226139120106
708,dusk,skirt,-1.6540978530162858
709,earn,make,-1.434691921447362
710,east,israel,-1.563478247193954
711,easter,preference,-1.7544644211421592
712,eat,eat,-0.0
713,eat,fruit,-1.2076083509511375
714,eat,rabbit,-1.4008589015918078
715,eat,truck,-1.6698468941458662
716,edit,issue,-1.652185968948069
717,edition,issue,-1.5109902963235742
718,educated,learned,-1.456059794130027
719,education,education,-0.0
720,egg,family,-1.6764400863177216
721,egg,lego,-1.6599773213726714
722,eight,movement,-1.7269417825743525
723,electronics,guess,-1.7404895212498075
724,element,mixture,-1.5682692662601747
725,element,nickel,-1.6261437179494065
726,eliminate,eliminate,-0.0
727,emergency,temp,-1.6380714896107034
728,emission,gum,-1.7456788280088382
729,empty,evacuated,-1.5590166738883346
730,end,terminate,-1.5442372422132742
731,energy,force,-1.467949035792122
732,enforcing,execute,-1.5285397972950372
733,engineering,technology,-1.1223208282013322
734,enhanced,increased,-1.2970890523906227
735,environment,land,-1.522837767904423
736,equipment,rescue,-1.5937653835876142
737,escalator,railway,-1.4334190412191417
738,establishment,institution,-1.161124603689076
739,evaluate,terminate,-1.4417217211241722
740,evidence,identification,-1.3710644318240457
741,evidence,record,-1.5879465808219302
742,evolution,publicity,-1.6767159079382137
743,examination,study,-1.1825201007021056
744,example,specimen,-1.4953178524365784
745,exclude,lack,-1.5754379633606619
746,exhibit,parade,-1.4521266472234726
747,exhibition,museum,-1.022545332217459
748,exhibition,soup,-1.816887684890819
749,expanse,sheet,-1.6413279435937473
750,expect,think,-1.125424690659832
751,expectation,possibility,-1.311565310004436
752,experience,inexperience,-1.505861629932055
753,explain,swear,-1.448383968899655
754,explanation,theory,-1.178776693447491
755,explosion,stencil,-1.7921129461305385
756,express,mail,-1.4466825127531386
757,eye,lip,-1.169047925718554
758,eye,tear,-1.4069622223417997
759,fabric,photo,-1.6788336969215298
760,fabric,sail,-1.6315616668785946
761,face,glittering,-1.6223871419175022
762,face,tear,-1.4867762754545095
763,family,live,-1.4410301224228965
764,family,relay,-1.7573835694400846
765,family,square,-1.6800553923328014
766,fantasy,fiction,-1.013227618648406
